"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","277.00%","227.95%"
"Risk","102.86%","100.83%"
"Sharpe","2.69","2.26"
"Daily 95% VaR","-1.84%","-1.75%"
"Daily 95% CVaR","-2.80%","-2.79%"
"1990 Recession","3.48%","2.99%"
"2001 Recession","-14.98%","-13.54%"
"2008 Recession","-37.98%","-47.69%"
