"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","261.92%","213.74%"
"Risk","97.93%","99.94%"
"Sharpe","2.67","2.14"
"Daily 95% VaR","-1.77%","-1.74%"
"Daily 95% CVaR","-2.67%","-2.77%"
"1990 Recession","5.21%","2.99%"
"2001 Recession","-14.30%","-13.54%"
"2008 Recession","-34.22%","-47.69%"
