ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity,XLC US Equity,XLC US Equity,XLC US Equity,XLC US Equity,XLE US Equity,XLE US Equity,XLE US Equity,XLE US Equity,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity,XLU US Equity,XLU US Equity,XLU US Equity,XLU US Equity,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,68.448,1.161,63.54,7725602.0,,,,,,,,,,,,,,,,
2019-01-13,,,,,,,,,,,,,,,,,,,,,68.402,1.161,63.54,7725602.0,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,,,68.402,1.1525,62.95,7242062.0,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,,,,,,68.402,1.1688,63.9,14326996.0,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,,,,,,68.402,1.0821,63.96,9468643.0,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,,,,,,68.402,1.0703,64.37,10128415.0,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,,,,,,68.402,1.0772,65.35,13651550.0,,,,,,,,,,,,,,,,
2019-01-20,,,,,,,,,,,,,,,,,,,,,69.194,1.0772,65.35,13651550.0,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,69.194,1.2861,64.25,14992512.0,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,,,,,,69.194,1.182,64.47,9576120.0,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,,,,,,69.194,1.1622,65.01,14170898.0,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,,,,,,69.194,1.0979,65.93,10030815.0,,,,,,,,,,,,,,,,
2019-01-27,,,,,,,,,,,,,,,,,,,,,70.188,1.0979,65.93,10030815.0,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,,,,,,70.188,1.1304,65.05,9662469.0,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,,,70.188,1.1239,64.35,8573987.0,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,,,,,,70.188,1.1927,66.35,16995325.0,,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,,,,,,,70.188,1.1871,66.28,18250916.0,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,,,70.188,1.196,66.67,9737796.0,,,,,,,,,,,,,,,,
2019-02-03,,,,,,,,,,,,,,,,,,,,,71.844,1.196,66.67,9737796.0,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,,,71.844,1.2018,67.74,7604287.0,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,,,,71.844,1.0597,68.31,12060664.0,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,,,,,,71.844,1.0625,68.54,10189649.0,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,,,,,,71.844,1.0474,67.6,14632128.0,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,,,,,,71.844,1.0342,67.99,8488796.0,,,,,,,,,,,,,,,,
2019-02-10,,,,,,,,,,,,,,,,,,,,,71.682,1.0342,67.99,8488796.0,,,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,,,,,,,,71.682,1.0329,67.96,7434660.0,,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,,,,,,,71.682,1.0119,68.86,9709099.0,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,,,,,,71.682,0.983,68.95,9120886.0,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,,,,,,71.682,0.9909,69.07,9742013.0,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,,,,,,71.682,1.0053,69.62,7356002.0,,,,,,,,,,,,,,,,
2019-02-17,,,,,,,,,,,,,,,,,,,,,65.723,1.0053,69.62,7356002.0,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,,,65.723,1.0422,69.64,8319114.0,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,,,,,,65.723,0.8903,69.72,9852085.0,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,,,,,,65.723,0.9008,69.75,9754061.0,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,,,,,,65.723,0.8927,70.64,12246686.0,,,,,,,,,,,,,,,,
2019-02-24,,,,,,,,,,,,,,,,,,,,,65.13,0.8927,70.64,12246686.0,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,,,65.13,0.917,70.98,20170501.0,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,,,,,,65.13,0.9284,71.13,14133959.0,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,,,,,,65.13,0.9523,71.06,9777532.0,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,,,,,,65.13,0.9546,70.86,9438331.0,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,65.13,0.9618,71.34,12334027.0,,,,,,,,,,,,,,,,
2019-03-03,,,,,,,,,,,,,,,,,,,,,63.57,0.9618,71.34,12334027.0,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,,,63.57,0.9935,71.07,15826472.0,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,,,63.57,1.0021,70.86,8953880.0,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,,,,,,63.57,0.9961,70.49,13122115.0,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,,,63.57,0.9986,69.82,18498286.0,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,,,,,,63.57,1.0156,69.81,12890714.0,,,,,,,,,,,,,,,,
2019-03-10,,,,,,,,,,,,,,,,,,,,,62.973,1.0156,69.81,12890714.0,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,,,62.973,1.0379,71.31,14577194.0,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,,,62.973,1.076,71.73,18050877.0,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,,,62.973,0.97,72.2,17833630.0,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,,,,,,62.973,0.997,72.35,10656663.0,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,,,62.973,1.2949,72.99,21024520.0,,,,,,,,,,,,,,,,
2019-03-17,,,,,,,,,,,,,,,,,,,,,65.968,1.2949,72.99,21024520.0,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,65.968,1.3133,73.3,14837637.0,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,,,,,,65.968,0.9752,73.45,16153202.0,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,,,65.968,0.9844,73.25,13704293.0,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,,,,,,65.968,0.9875,75.09,27274148.0,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,65.968,0.9163,73.32,26747361.0,,,,,,,,,,,,,,,,
2019-03-24,,,,,,,,,,,,,,,,,,,,,68.455,0.9163,73.32,26747361.0,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,68.455,0.954,73.0,21946894.0,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,,,,,,68.455,0.9486,73.4,13965286.0,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,,,,,,68.455,0.9688,72.98,15831176.0,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,,,,68.455,0.9064,73.28,10539704.0,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,,,68.455,0.902,74.0,14347178.0,,,,,,,,,,,,,,,,
2019-03-31,,,,,,,,,,,,,,,,,,,,,65.792,0.902,74.0,14347178.0,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,65.792,0.9026,75.01,12590504.0,,,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,,,,,,,,65.792,0.8773,75.27,11787177.0,,,,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,,,,,65.792,0.8856,75.88,13869223.0,,,,,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,,,,,,,,,,65.792,0.9094,75.56,11503077.0,,,,,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,,,,,,,65.792,0.9096,75.92,6709785.0,,,,,,,,,,,,,,,,
2019-04-07,,,,,,,,,,,,,,,,,,,,,65.702,0.9096,75.92,6709785.0,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,65.702,0.9313,76.21,7309911.0,,,,,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,,,,,,,,,,65.702,0.9203,75.85,13440126.0,,,,,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,,,,,,,,,,65.702,0.9115,76.38,8617805.0,,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,,,,,,,65.702,0.929,76.28,7697338.0,,,,,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,,,,,,,,,,65.702,0.931,76.81,8555372.0,,,,,,,,,,,,,,,,
2019-04-14,,,,,,,,,,,,,,,,,,,,,64.839,0.931,76.81,8555372.0,,,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,,,,,,,,64.839,0.9654,76.78,9910693.0,,,,,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,,,,,,,,,,64.839,1.0046,77.17,9609547.0,,,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,,,,,,,,64.839,1.0085,77.6,12247872.0,,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,,,,,,,,,,64.839,1.039,77.82,11491949.0,,,,,,,,,,,,,,,,
2019-04-21,,,,,,,,,,,,,,,,,,,,,66.221,1.039,77.82,11491949.0,,,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,,,,,,,,66.221,1.4014,78.0,8084368.0,,,,,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,,,,,,,,,,66.221,1.0493999999999999,78.85,16693005.0,,,,,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,,,,,,,,,,66.221,1.0688,78.88,10938268.0,,,,,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,,,,,,,,,,66.221,1.2398,78.86,11387585.0,,,,,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,,,,,,,,,,66.221,1.0909,78.56,11050219.0,,,,,,,,,,,,,,,,
2019-04-28,,,,,,,,,,,,,,,,,,,,,65.184,1.0909,78.56,11050219.0,,,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,,,,,,,,65.184,1.2057,78.58,10613331.0,,,,,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,,,,,,,,65.184,1.1834,78.71,18842869.0,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,,,,,,65.184,1.1312,78.51,15446826.0,,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,,,,,,,65.184,1.1569,78.1,24988752.0,,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,,,,65.184,1.1593,78.84,13288420.0,,,,,,,,,,,,,,,,
2019-05-05,,,,,,,,,,,,,,,,,,,,,64.926,1.1593,78.84,13288420.0,,,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,,,,,,,,64.926,1.0933,78.23,13022479.0,,,,,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,,,,,,,64.926,1.1189,76.55,20625711.0,,,,,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,,,,,,,,,,64.926,1.1283,76.46,13667465.0,,,,,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,,,,,,,64.926,1.191,75.94,19300910.0,,,,,,,,,,,,,,,,
2019-05-10,,,,,,,,,,,,,,,,,,,,,64.926,1.259,76.18,19596295.0,,,,,,,,,,,,,,,,
2019-05-12,,,,,,,,,,,,,,,,,,,,,64.824,1.259,76.18,19596295.0,,,,,,,,,,,,,,,,
2019-05-13,,,,,,,,,,,,,,,,,,,,,64.824,1.259,73.31,25461207.0,,,,,,,,,,,,,,,,
2019-05-14,,,,,,,,,,,,,,,,,,,,,64.824,1.1994,74.49,18404280.0,,,,,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,,,,,,,,,,64.824,1.2003,75.3,15048875.0,,,,,,,,,,,,,,,,
2019-05-16,,,,,,,,,,,,,,,,,,,,,64.824,1.1225,75.99,15444976.0,,,,,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,,,,,,,,,,64.824,1.1513,75.38,13543996.0,,,,,,,,,,,,,,,,
2019-05-19,,,,,,,,,,,,,,,,,,,,,67.56,1.1513,75.38,13543996.0,,,,,,,,,,,,,,,,
2019-05-20,,,,,,,,,,,,,,,,,,,,,67.56,1.1142,74.07,14673932.0,,,,,,,,,,,,,,,,
2019-05-21,,,,,,,,,,,,,,,,,,,,,67.56,1.081,74.98,14841128.0,,,,,,,,,,,,,,,,
2019-05-22,,,,,,,,,,,,,,,,,,,,,67.56,1.0542,74.59,11521081.0,,,,,,,,,,,,,,,,
2019-05-23,,,,,,,,,,,,,,,,,,,,,67.56,1.0227,73.28,16085696.0,,,,,,,,,,,,,,,,
2019-05-24,,,,,,,,,,,,,,,,,,,,,67.56,1.0152,73.3,11750019.0,,,,,,,,,,,,,,,,
2019-05-26,,,,,,,,,,,,,,,,,,,,,66.421,1.0152,73.3,11750019.0,,,,,,,,,,,,,,,,
2019-05-28,,,,,,,,,,,,,,,,,,,,,66.421,0.9967,73.09,25772770.0,,,,,,,,,,,,,,,,
2019-05-29,,,,,,,,,,,,,,,,,,,,,66.421,1.0687,72.66,14754806.0,,,,,,,,,,,,,,,,
2019-05-30,,,,,,,,,,,,,,,,,,,,,66.421,1.0555,73.11,11420530.0,,,,,,,,,,,,,,,,
2019-05-31,,,,,,,,,,,,,,,,,,,,,66.421,1.0289,71.89,12039782.0,,,,,,,,,,,,,,,,
2019-06-02,,,,,,,,,,,,,,,,,,,,,65.544,1.0289,71.89,12039782.0,,,,,,,,,,,,,,,,
2019-06-03,,,,,,,,,,,,,,,,,,,,,65.544,1.0086,70.63,19703698.0,,,,,,,,,,,,,,,,
2019-06-04,,,,,,,,,,,,,,,,,,,,,65.544,1.0456,72.99,15096174.0,,,,,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,,,,,,,,,,65.544,1.0929,73.94,14395841.0,,,,,,,,,,,,,,,,
2019-06-06,,,,,,,,,,,,,,,,,,,,,65.544,1.084,74.8,11922461.0,,,,,,,,,,,,,,,,
2019-06-07,,,,,,,,,,,,,,,,,,,,,65.544,1.0803,76.19,11992069.0,,,,,,,,,,,,,,,,
2019-06-09,,,,,,,,,,,,,,,,,,,,,65.914,1.0803,76.19,11992069.0,,,,,,,,,,,,,,,,
2019-06-10,,,,,,,,,,,,,,,,,,,,,65.914,1.1371,76.97,13463779.0,,,,,,,,,,,,,,,,
2019-06-11,,,,,,,,,,,,,,,,,,,,,65.914,1.1139000000000001,76.97,11550125.0,,,,,,,,,,,,,,,,
2019-06-12,,,,,,,,,,,,,,,,,,,,,65.914,1.15,76.54,7596943.0,,,,,,,,,,,,,,,,
2019-06-13,,,,,,,,,,,,,,,,,,,,,65.914,1.1351,76.77,9867761.0,,,,,,,,,,,,,,,,
2019-06-14,,,,,,,,,,,,,,,,,,,,,65.914,1.1303,76.1,8441689.0,,,,,,,,,,,,,,,,
2019-06-16,,,,,,,,,,,,,,,,,,,,,65.137,1.1303,76.1,8441689.0,,,,,,,,,,,,,,,,
2019-06-17,,,,,,,,,,,,,,,,,,,,,65.137,1.1598,76.16,9351130.0,,,,,,,,,,,,,,,,
2019-06-18,,,,,,,,,,,,,,,,,,,,,65.137,1.1223,77.54,16181183.0,,,,,,,,,,,,,,,,
2019-06-19,,,,,,,,,,,,,,,,,,,,,65.137,1.0954,77.82,12371290.0,,,,,,,,,,,,,,,,
2019-06-20,,,,,,,,,,,,,,,,,,,,,65.137,1.0954,78.96,13891896.0,,,,,,,,,,,,,,,,
2019-06-21,,,,,,,,,,,,,,,,,,,,,65.137,1.4653,78.31,20715371.0,,,,,,,,,,,,,,,,
2019-06-23,,,,,,,,,,,,,,,,,,,,,66.756,1.4653,78.31,20715371.0,,,,,,,,,,,,,,,,
2019-06-24,,,,,,,,,,,,,,,,,,,,,66.756,1.4687999999999999,78.46,8216118.0,,,,,,,,,,,,,,,,
2019-06-25,,,,,,,,,,,,,,,,,,,,,66.756,1.304,77.02,13122665.0,,,,,,,,,,,,,,,,
2019-06-26,,,,,,,,,,,,,,,,,,,,,66.756,1.3153000000000001,77.85,9069181.0,,,,,,,,,,,,,,,,
2019-06-27,,,,,,,,,,,,,,,,,,,,,66.756,1.2868,78.05,6837616.0,,,,,,,,,,,,,,,,
2019-06-28,,,,,,,,,,,,,,,,,,,,,66.756,1.2872,78.04,17783356.0,,,,,,,,,,,,,,,,
2019-06-30,,,,,,,,,,,,,,,,,,,,,68.003,1.2872,78.04,17783356.0,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,68.003,1.3158,79.28,14290707.0,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,,,,,,,,,,,,,,,68.003,1.2953999999999999,79.49,7784480.0,,,,,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,,,,,,,,,,68.003,1.3107,80.1,5341772.0,,,,,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,,,,,,68.003,1.3102,79.95,5924127.0,,,,,,,,,,,,,,,,
2019-07-07,,,,,,,,,,,,,,,,,,,,,68.475,1.3102,79.95,5924127.0,,,,,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,,,,,,,,,,68.475,1.3631,79.34,7459937.0,,,,,,,,,,,,,,,,
2019-07-09,,,,,,,,,,,,,,,,,,,,,68.475,1.3317999999999999,79.62,9249826.0,,,,,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,,,,,,68.475,1.3324,80.25,10108944.0,,,,,,,,,,,,,,,,
2019-07-11,,,,,,,,,,,,,,,,,,,,,68.475,1.3344,80.55,11352423.0,,,,,,,,,,,,,,,,
2019-07-12,,,,,,,,,,,,,,,,,,,,,68.475,1.357,81.14,7753421.0,,,,,,,,,,,,,,,,
2019-07-14,,,,,,,,,,,,,,,,,,,,,68.106,1.357,81.14,7753421.0,,,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,,,,,,,,68.106,1.426,81.41,6286126.0,,,,,,,,,,,,,,,,
2019-07-16,,,,,,,,,,,,,,,,,,,,,68.106,1.4039,80.65,8005994.0,,,,,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,,,,,,,,,,68.106,1.4186,80.44,6708000.0,,,,,,,,,,,,,,,,
2019-07-18,,,,,,,,,,,,,,,,,,,,,68.106,1.432,81.04,8022393.0,,,,,,,,,,,,,,,,
2019-07-19,,,,,,,,,,,,,,,,,,,,,68.106,1.3955,80.69,11679742.0,,,,,,,,,,,,,,,,
2019-07-21,,,,,,,,,,,,,,,,,,,,,65.955,1.3955,80.69,11679742.0,,,,,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,,,,,,,,,,65.955,1.5762,81.62,6924663.0,,,,,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,,,,,,,,,,65.955,1.2978,82.07,5505508.0,,,,,,,,,,,,,,,,
2019-07-24,,,,,,,,,,,,,,,,,,,,,65.955,1.3172,82.75,9257101.0,,,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,,,,,,65.955,1.3698000000000001,82.41,9923370.0,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,,,,,,65.955,1.3706,82.59,11120160.0,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,,,,,,65.069,1.3706,82.59,11120160.0,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,,,,,,65.069,1.3813,82.54,8473219.0,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,,,,,,65.069,1.3509,82.01,7366949.0,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,,,,,,65.069,1.3604,80.77,16869250.0,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,65.069,1.3620999999999999,80.36,28833005.0,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,,,,,,65.069,1.3546,79.05,22371946.0,,,,,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,,,,,,,,,,64.45,1.3546,79.05,22371946.0,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,,,,,,64.45,1.346,75.75,27826563.0,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,,,,,,64.45,1.3929,77.01,19150939.0,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,,,,,,64.45,1.397,77.49,20582422.0,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,,,,,,64.45,1.4098,79.39,15991578.0,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,,,,,,64.45,1.5039,78.49,15572602.0,,,,,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,,,,,,,,,,64.197,1.5039,78.49,15572602.0,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,,,,,,64.197,1.4905,77.46,10893391.0,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,,,,,,64.197,1.4941,79.4,26082725.0,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,,,,,,64.197,1.5182,76.96,23569346.0,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,,,,,,64.197,1.4794,76.82,15668558.0,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,,,,,,64.197,1.451,78.28,10862450.0,,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,,,,,,59.243,1.451,78.28,10862450.0,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,,,,,,59.243,1.4395,79.47,7878240.0,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,,,,,,59.243,1.4409,79.07,8337949.0,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,,,,,,59.243,1.4069,80.0,8403058.0,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,,,,,,59.243,1.3924,79.81,7594419.0,,,,,,,,,,,,,,,,
