ticker,PRUSTOT Index
field,PX_LAST
date,
2019-01-31,63.2
2019-02-28,63.1
2019-03-31,63.0
2019-04-30,62.8
2019-05-31,62.9
2019-06-30,63.0
2019-07-31,63.0
2019-08-31,63.2
2019-09-30,63.2
2019-10-31,63.3
2019-11-30,63.2
2019-12-31,63.2
