ticker,USGG2YR Index
field,PX_LAST
date,
2019-01-01,2.4878
2019-01-02,2.4676
2019-01-03,2.3786
2019-01-04,2.4937
2019-01-07,2.5406
2019-01-08,2.5855
2019-01-09,2.5529
2019-01-10,2.5755
2019-01-11,2.5408
2019-01-14,2.5347
2019-01-15,2.5347
2019-01-16,2.5409
2019-01-17,2.5637
2019-01-18,2.6139
2019-01-21,2.6139
2019-01-22,2.5869
2019-01-23,2.5829
2019-01-24,2.5642
2019-01-25,2.6063
2019-01-28,2.5897
2019-01-29,2.5726
2019-01-30,2.5080999999999998
2019-01-31,2.4576000000000002
2019-02-01,2.5019
2019-02-04,2.5364
2019-02-05,2.5221999999999998
2019-02-06,2.5243
2019-02-07,2.4795
2019-02-08,2.465
2019-02-11,2.4854
2019-02-12,2.5059
2019-02-13,2.5305
2019-02-14,2.4935
2019-02-15,2.5141
2019-02-18,2.5141
2019-02-19,2.4872
2019-02-20,2.4975
2019-02-21,2.5286
2019-02-22,2.4933
2019-02-25,2.5058
2019-02-26,2.4819
2019-02-27,2.498
2019-02-28,2.5141
2019-03-01,2.5526
2019-03-04,2.5404999999999998
2019-03-05,2.5446
2019-03-06,2.5161
2019-03-07,2.4734
2019-03-08,2.461
2019-03-11,2.4752
2019-03-12,2.4506
2019-03-13,2.4648
2019-03-14,2.4607
2019-03-15,2.4378
2019-03-18,2.4521
2019-03-19,2.4686
2019-03-20,2.3961
2019-03-21,2.4084
2019-03-22,2.3166
2019-03-25,2.2416
2019-03-26,2.2662
2019-03-27,2.2
2019-03-28,2.2359
2019-03-29,2.26
2019-04-01,2.3326000000000002
2019-04-02,2.3024
2019-04-03,2.3348
2019-04-04,2.3369
2019-04-05,2.3393
2019-04-08,2.3618
2019-04-09,2.3497
2019-04-10,2.3212
2019-04-11,2.354
2019-04-12,2.3914
2019-04-15,2.3916
2019-04-16,2.4124
2019-04-17,2.4002
2019-04-18,2.3802
2019-04-19,2.3802
2019-04-22,2.3866
2019-04-23,2.3639
2019-04-24,2.3178
2019-04-25,2.3319
2019-04-26,2.2821
2019-04-29,2.2922000000000002
2019-04-30,2.2661
2019-05-01,2.3044000000000002
2019-05-02,2.3448
2019-05-03,2.333
2019-05-06,2.2904
2019-05-07,2.2843999999999998
2019-05-08,2.2965999999999998
2019-05-09,2.258
2019-05-10,2.2661
2019-05-13,2.1884
2019-05-14,2.1965
2019-05-15,2.1596
2019-05-16,2.1922
2019-05-17,2.1981
2019-05-20,2.2208
2019-05-21,2.2538
2019-05-22,2.2227
2019-05-23,2.146
2019-05-24,2.1641
2019-05-27,2.1641
2019-05-28,2.1244
2019-05-29,2.109
2019-05-30,2.0609
2019-05-31,1.9221
2019-06-03,1.8317
2019-06-04,1.8834
2019-06-05,1.8569
2019-06-06,1.8787
2019-06-07,1.8494000000000002
2019-06-10,1.9036
2019-06-11,1.9297
2019-06-12,1.8786
2019-06-13,1.8357
2019-06-14,1.8405
2019-06-17,1.8687
2019-06-18,1.8643
2019-06-19,1.7351
2019-06-20,1.7774999999999999
2019-06-21,1.7678
2019-06-24,1.7324000000000002
2019-06-25,1.7318
2019-06-26,1.7689
2019-06-27,1.7449
2019-06-28,1.7549000000000001
2019-07-01,1.7872
2019-07-02,1.7612999999999999
2019-07-03,1.7596
2019-07-04,1.7596
2019-07-05,1.8593
2019-07-08,1.8900000000000001
2019-07-09,1.9066
2019-07-10,1.8277
2019-07-11,1.8625
2019-07-12,1.8471
2019-07-15,1.829
2019-07-16,1.8498
2019-07-17,1.8111000000000002
2019-07-18,1.7559
2019-07-19,1.8183
2019-07-22,1.8123
2019-07-23,1.8374000000000001
2019-07-24,1.8178999999999998
2019-07-25,1.8639000000000001
2019-07-26,1.8519
2019-07-29,1.8578999999999999
2019-07-30,1.8458999999999999
2019-07-31,1.8721
2019-08-01,1.734
2019-08-02,1.7118
2019-08-05,1.5733000000000001
2019-08-06,1.583
2019-08-07,1.6069
2019-08-08,1.6188
2019-08-09,1.6465999999999998
2019-08-12,1.5836999999999999
2019-08-13,1.6665999999999999
2019-08-14,1.5771
