ticker,USGG10YR Index
field,PX_LAST
date,
2019-01-01,2.6842
2019-01-02,2.6204
2019-01-03,2.5535
2019-01-04,2.6677
2019-01-07,2.6959999999999997
2019-01-08,2.7279999999999998
2019-01-09,2.71
2019-01-10,2.7420999999999998
2019-01-11,2.7007
2019-01-14,2.7024
2019-01-15,2.7112
2019-01-16,2.7218
2019-01-17,2.7504
2019-01-18,2.7842000000000002
2019-01-21,2.7842000000000002
2019-01-22,2.7392
2019-01-23,2.7409
2019-01-24,2.7157
2019-01-25,2.7584999999999997
2019-01-28,2.7439999999999998
2019-01-29,2.7098
2019-01-30,2.6775
2019-01-31,2.6292999999999997
2019-02-01,2.6842
2019-02-04,2.7235
2019-02-05,2.6983
2019-02-06,2.6946
2019-02-07,2.6572
2019-02-08,2.6339
2019-02-11,2.6536
2019-02-12,2.6877
2019-02-13,2.7020999999999997
2019-02-14,2.6536
2019-02-15,2.6626
2019-02-18,2.6626
2019-02-19,2.6339
2019-02-20,2.6447000000000003
2019-02-21,2.6914
2019-02-22,2.6518
2019-02-25,2.6626
2019-02-26,2.6357
2019-02-27,2.6825
2019-02-28,2.715
2019-03-01,2.7531
2019-03-04,2.7223
2019-03-05,2.7169
2019-03-06,2.6934
2019-03-07,2.6393
2019-03-08,2.6285
2019-03-11,2.6393
2019-03-12,2.6015
2019-03-13,2.6212999999999997
2019-03-14,2.6303
2019-03-15,2.5871
2019-03-18,2.6033
2019-03-19,2.6123
2019-03-20,2.5263
2019-03-21,2.5369
2019-03-22,2.439
2019-03-25,2.3983
2019-03-26,2.423
2019-03-27,2.3665
2019-03-28,2.3946
2019-03-29,2.4050000000000002
2019-04-01,2.5009
2019-04-02,2.4741
2019-04-03,2.5241
2019-04-04,2.5151
2019-04-05,2.4954
2019-04-08,2.5221999999999998
2019-04-09,2.5006
2019-04-10,2.4649
2019-04-11,2.497
2019-04-12,2.5651
2019-04-15,2.5543
2019-04-16,2.5904
2019-04-17,2.594
2019-04-18,2.5596
2019-04-19,2.5596
2019-04-22,2.5885
2019-04-23,2.565
2019-04-24,2.5181
2019-04-25,2.5324999999999998
2019-04-26,2.4981999999999998
2019-04-29,2.5252
2019-04-30,2.5018000000000002
2019-05-01,2.4999000000000002
2019-05-02,2.5414
2019-05-03,2.525
2019-05-06,2.4692
2019-05-07,2.4566
2019-05-08,2.4835
2019-05-09,2.4423
2019-05-10,2.4672
2019-05-13,2.4015
2019-05-14,2.4104
2019-05-15,2.3731999999999998
2019-05-16,2.3944
2019-05-17,2.3909000000000002
2019-05-20,2.4157
2019-05-21,2.4264
2019-05-22,2.382
2019-05-23,2.3185000000000002
2019-05-24,2.3202
2019-05-27,2.3202
2019-05-28,2.2658
2019-05-29,2.2605
2019-05-30,2.2133
2019-05-31,2.1246
2019-06-03,2.071
2019-06-04,2.1296
2019-06-05,2.1348
2019-06-06,2.1174
2019-06-07,2.0809
2019-06-10,2.1484
2019-06-11,2.1431
2019-06-12,2.1205
2019-06-13,2.0945
2019-06-14,2.0804
2019-06-17,2.0942
2019-06-18,2.0595
2019-06-19,2.0233
2019-06-20,2.0284
2019-06-21,2.054
2019-06-24,2.0143
2019-06-25,1.9849999999999999
2019-06-26,2.0468
2019-06-27,2.014
2019-06-28,2.0051
2019-07-01,2.024
2019-07-02,1.974
2019-07-03,1.9498
2019-07-04,1.9498
2019-07-05,2.0338
2019-07-08,2.0476
2019-07-09,2.0648
2019-07-10,2.0613
2019-07-11,2.1378
2019-07-12,2.1219
2019-07-15,2.0887000000000002
2019-07-16,2.1026
2019-07-17,2.0451
2019-07-18,2.0242
2019-07-19,2.0552
2019-07-22,2.0464
2019-07-23,2.0812
2019-07-24,2.0428
2019-07-25,2.081
2019-07-26,2.0703
2019-07-29,2.065
2019-07-30,2.058
2019-07-31,2.0144
2019-08-01,1.8935
2019-08-02,1.8452
2019-08-05,1.7075
2019-08-06,1.7023000000000001
2019-08-07,1.7342
2019-08-08,1.7172
2019-08-09,1.7447
2019-08-12,1.6454
2019-08-13,1.7035
2019-08-14,1.5792000000000002
2019-08-15,1.5269
