"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","270.86%","222.05%"
"Risk","103.78%","100.74%"
"Sharpe","2.61","2.2"
"Daily 95% VaR","-1.85%","-1.75%"
"Daily 95% CVaR","-2.83%","-2.79%"
"1990 Recession","3.07%","2.99%"
"2001 Recession","-14.74%","-13.54%"
"2008 Recession","-40.16%","-47.69%"
