"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","260.96%","218.04%"
"Risk","99.38%","100.20%"
"Sharpe","2.63","2.18"
"Daily 95% VaR","-1.78%","-1.74%"
"Daily 95% CVaR","-2.71%","-2.78%"
"1990 Recession","3.77%","2.99%"
"2001 Recession","-15.37%","-13.54%"
"2008 Recession","-35.12%","-47.69%"
