"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","279.75%","226.99%"
"Risk","103.10%","100.80%"
"Sharpe","2.71","2.25"
"Daily 95% VaR","-1.85%","-1.75%"
"Daily 95% CVaR","-2.81%","-2.79%"
"1990 Recession","3.57%","2.99%"
"2001 Recession","-15.20%","-13.54%"
"2008 Recession","-38.45%","-47.69%"
