"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","281.84%","228.23%"
"Risk","105.04%","100.82%"
"Sharpe","2.68","2.26"
"Daily 95% VaR","-1.89%","-1.75%"
"Daily 95% CVaR","-2.87%","-2.79%"
"1990 Recession","3.15%","2.99%"
"2001 Recession","-14.98%","-13.54%"
"2008 Recession","-41.21%","-47.69%"
