"Metric","Portfolio","SPX"
"Period","1990-2020","1990-2020"
"Return","279.49%","229.66%"
"Risk","104.73%","100.85%"
"Sharpe","2.67","2.28"
"Daily 95% VaR","-1.87%","-1.75%"
"Daily 95% CVaR","-2.86%","-2.79%"
"1990 Recession","2.60%","2.99%"
"2001 Recession","-15.57%","-13.54%"
"2008 Recession","-40.48%","-47.69%"
